academy_awards_4557,actors_1,1.0
academy_awards_4529,actors_2,1.0
academy_awards_4500,actors_3,1.0
academy_awards_4475,actors_4,1.0
academy_awards_4446,actors_5,1.0
academy_awards_4399,actors_6,1.0
academy_awards_4363,actors_7,1.0
academy_awards_4320,actors_8,1.0
academy_awards_4270,actors_9,1.0
academy_awards_4207,actors_10,1.0
academy_awards_4146,actors_11,1.0
academy_awards_4081,actors_12,1.0
academy_awards_4020,actors_13,1.0
academy_awards_3920,actors_14,1.0
academy_awards_3816,actors_15,1.0
academy_awards_3716,actors_16,1.0
academy_awards_3624,actors_17,1.0
academy_awards_3548,actors_18,1.0
academy_awards_3488,actors_19,1.0
academy_awards_3423,actors_20,1.0
academy_awards_3363,actors_21,1.0
academy_awards_3305,actors_22,1.0
academy_awards_3252,actors_23,1.0
academy_awards_3187,actors_24,1.0
academy_awards_3132,actors_25,1.0
academy_awards_3060,actors_26,1.0
academy_awards_3001,actors_27,1.0
academy_awards_2955,actors_28,1.0
academy_awards_2892,actors_29,1.0
academy_awards_2844,actors_30,1.0
academy_awards_2789,actors_31,1.0
academy_awards_2731,actors_32,1.0
academy_awards_2686,actors_33,1.0
academy_awards_2625,actors_34,1.0
academy_awards_2570,actors_35,1.0
academy_awards_2506,actors_36,1.0
academy_awards_2452,actors_37,1.0
academy_awards_2397,actors_38,1.0
academy_awards_2334,actors_39,1.0
academy_awards_2288,actors_40,1.0
academy_awards_2240,actors_41,1.0
academy_awards_2233,actors_42,1.0
academy_awards_2194,actors_43,1.0
academy_awards_2141,actors_44,1.0
academy_awards_2092,actors_45,1.0
academy_awards_2040,actors_46,1.0
academy_awards_1995,actors_47,1.0
academy_awards_1943,actors_48,1.0
academy_awards_1880,actors_49,1.0
academy_awards_1829,actors_50,1.0
academy_awards_1776,actors_51,1.0
academy_awards_1731,actors_52,1.0
academy_awards_1680,actors_53,1.0
academy_awards_1633,actors_54,1.0
academy_awards_1580,actors_55,1.0
academy_awards_1541,actors_56,1.0
academy_awards_1489,actors_57,1.0
academy_awards_1435,actors_58,1.0
academy_awards_1392,actors_59,1.0
academy_awards_1330,actors_60,1.0
academy_awards_1279,actors_61,1.0
academy_awards_1229,actors_62,1.0
academy_awards_1169,actors_63,1.0
academy_awards_1122,actors_64,1.0
academy_awards_1069,actors_65,1.0
academy_awards_1022,actors_66,1.0
academy_awards_968,actors_67,1.0
academy_awards_910,actors_68,1.0
academy_awards_845,actors_69,1.0
academy_awards_781,actors_70,1.0
academy_awards_723,actors_71,1.0
academy_awards_671,actors_72,1.0
academy_awards_618,actors_73,1.0
academy_awards_560,actors_74,1.0
academy_awards_508,actors_75,1.0
academy_awards_453,actors_76,1.0
academy_awards_409,actors_77,1.0
academy_awards_345,actors_78,1.0
academy_awards_4520,actors_80,1.0
academy_awards_4491,actors_81,1.0
academy_awards_4469,actors_82,1.0
academy_awards_4444,actors_83,1.0
academy_awards_4442,actors_84,1.0
academy_awards_4397,actors_85,1.0
academy_awards_4316,actors_86,1.0
academy_awards_4261,actors_87,1.0
academy_awards_4201,actors_88,1.0
academy_awards_4140,actors_89,1.0
academy_awards_4080,actors_90,1.0
academy_awards_4015,actors_91,1.0
academy_awards_3910,actors_92,1.0
academy_awards_3813,actors_93,1.0
academy_awards_3713,actors_94,1.0
academy_awards_3625,actors_95,1.0
academy_awards_3540,actors_96,1.0
academy_awards_3480,actors_97,1.0
academy_awards_3418,actors_98,1.0
academy_awards_3366,actors_99,1.0
academy_awards_3300,actors_100,1.0
academy_awards_3244,actors_101,1.0
academy_awards_3186,actors_102,1.0
academy_awards_3124,actors_103,1.0
academy_awards_3059,actors_104,1.0
academy_awards_3000,actors_105,1.0
academy_awards_2943,actors_106,1.0
academy_awards_2883,actors_107,1.0
academy_awards_2837,actors_108,1.0
academy_awards_2783,actors_109,1.0
academy_awards_2732,actors_110,1.0
academy_awards_2675,actors_111,1.0
academy_awards_2620,actors_112,1.0
academy_awards_2566,actors_113,1.0
academy_awards_2507,actors_114,1.0
academy_awards_2446,actors_115,1.0
academy_awards_2389,actors_116,1.0
academy_awards_2337,actors_117,1.0
academy_awards_2287,actors_118,1.0
academy_awards_2234,actors_119,1.0
academy_awards_2187,actors_120,1.0
academy_awards_2137,actors_121,1.0
academy_awards_2085,actors_122,1.0
academy_awards_2035,actors_123,1.0
academy_awards_1988,actors_124,1.0
academy_awards_1936,actors_125,1.0
academy_awards_1880,actors_126,1.0
academy_awards_1778,actors_127,1.0
academy_awards_1671,actors_128,1.0
academy_awards_1623,actors_129,1.0
academy_awards_1532,actors_130,1.0
academy_awards_1487,actors_131,1.0
academy_awards_1430,actors_132,1.0
academy_awards_1383,actors_133,1.0
academy_awards_1331,actors_134,1.0
academy_awards_1272,actors_135,1.0
academy_awards_1220,actors_136,1.0
academy_awards_1168,actors_137,1.0
academy_awards_1117,actors_138,1.0
academy_awards_1012,actors_139,1.0
academy_awards_961,actors_140,1.0
academy_awards_902,actors_141,1.0
academy_awards_842,actors_142,1.0
academy_awards_779,actors_143,1.0
academy_awards_723,actors_144,1.0
academy_awards_664,actors_145,1.0
academy_awards_608,actors_146,1.0
academy_awards_553,actors_147,1.0
academy_awards_503,actors_148,1.0
academy_awards_448,actors_149,1.0
academy_awards_402,actors_150,1.0
academy_awards_346,actors_151,1.0
